SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,36467W109,GME,62130.0,GAMESTOP CORP (HLDG CO) CL A,4.06
20200602,36467W109,GME,166805.0,GAMESTOP CORP (HLDG CO) CL A,4.13
20200603,36467W109,GME,28129.0,GAMESTOP CORP (HLDG CO) CL A,4.18
20200604,36467W109,GME,5129.0,GAMESTOP CORP (HLDG CO) CL A,4.44
20200605,36467W109,GME,107808.0,GAMESTOP CORP (HLDG CO) CL A,4.47
20200608,36467W109,GME,238731.0,GAMESTOP CORP (HLDG CO) CL A,4.14
20200609,36467W109,GME,377993.0,GAMESTOP CORP (HLDG CO) CL A,5.01
20200610,36467W109,GME,18737.0,GAMESTOP CORP (HLDG CO) CL A,4.96
20200611,36467W109,GME,410673.0,GAMESTOP CORP (HLDG CO) CL A,5.07
20200612,36467W109,GME,227930.0,GAMESTOP CORP (HLDG CO) CL A,4.37
20200615,36467W109,GME,92058.0,GAMESTOP CORP (HLDG CO) CL A,4.72
20200616,36467W109,GME,492013.0,GAMESTOP CORP (HLDG CO) CL A,4.69
20200617,36467W109,GME,183337.0,GAMESTOP CORP (HLDG CO) CL A,4.64
20200618,36467W109,GME,118241.0,GAMESTOP CORP (HLDG CO) CL A,4.76
20200619,36467W109,GME,5843.0,GAMESTOP CORP (HLDG CO) CL A,4.95
20200622,36467W109,GME,3078.0,GAMESTOP CORP (HLDG CO) CL A,4.88
20200623,36467W109,GME,160820.0,GAMESTOP CORP (HLDG CO) CL A,4.87
20200624,36467W109,GME,9514.0,GAMESTOP CORP (HLDG CO) CL A,4.83
20200625,36467W109,GME,330410.0,GAMESTOP CORP (HLDG CO) CL A,4.41
20200629,36467W109,GME,300.0,GAMESTOP CORP (HLDG CO) CL A,4.35
20200630,36467W109,GME,4536.0,GAMESTOP CORP (HLDG CO) CL A,4.38
20200701,36467W109,GME,6369.0,GAMESTOP CORP (HLDG CO) CL A,4.34
20200706,36467W109,GME,86018.0,GAMESTOP CORP (HLDG CO) CL A,4.29
20200709,36467W109,GME,2673.0,GAMESTOP CORP (HLDG CO) CL A,4.26
20200710,36467W109,GME,42847.0,GAMESTOP CORP (HLDG CO) CL A,4.21
20200713,36467W109,GME,57135.0,GAMESTOP CORP (HLDG CO) CL A,4.34
20200714,36467W109,GME,10418.0,GAMESTOP CORP (HLDG CO) CL A,4.26
20200715,36467W109,GME,53992.0,GAMESTOP CORP (HLDG CO) CL A,4.08
20200720,36467W109,GME,15305.0,GAMESTOP CORP (HLDG CO) CL A,3.96
20200721,36467W109,GME,1047676.0,GAMESTOP CORP (HLDG CO) CL A,3.85
20200722,36467W109,GME,44930.0,GAMESTOP CORP (HLDG CO) CL A,4.01
20200723,36467W109,GME,15361.0,GAMESTOP CORP (HLDG CO) CL A,4.11
20200724,36467W109,GME,35103.0,GAMESTOP CORP (HLDG CO) CL A,4.11
20200727,36467W109,GME,84766.0,GAMESTOP CORP (HLDG CO) CL A,4.03
20200728,36467W109,GME,134.0,GAMESTOP CORP (HLDG CO) CL A,4.01
20200730,36467W109,GME,43327.0,GAMESTOP CORP (HLDG CO) CL A,4.06
20200731,36467W109,GME,84538.0,GAMESTOP CORP (HLDG CO) CL A,4.10
20200803,36467W109,GME,19581.0,GAMESTOP CORP (HLDG CO) CL A,4.01
20200804,36467W109,GME,20822.0,GAMESTOP CORP (HLDG CO) CL A,4.15
