Date,Close/Last,Volume,Open,High,Low
08/07/2023,$29.60,117,$29.40,$30.60,$29.30
08/04/2023,$29.80,112,$30.40,$30.60,$29.20
08/03/2023,$30.40,483,$30.80,$30.944,$28.402
08/02/2023,$29.736,1044,$30.00,$30.00,$28.002
08/01/2023,$29.80,1400,$30.40,$31.00,$29.20
07/31/2023,$30.80,559,$31.00,$31.00,$30.20
07/28/2023,$30.20,1544,$31.00,$31.00,$30.20
07/27/2023,$30.20,433,$31.00,$31.00,$30.20
07/26/2023,$30.90,614,$31.00,$31.00,$30.40
07/25/2023,$30.80,263,$30.80,$31.00,$30.522
07/24/2023,$30.00,1196,$31.00,$32.00,$28.902
07/21/2023,$30.00,3364,$31.00,$31.00,$29.40
07/20/2023,$33.00,233,$33.94,$34.90,$33.00
07/19/2023,$35.00,843,$36.946,$37.00,$33.20
07/18/2023,$36.79,380,$38.00,$38.134,$36.012
07/17/2023,$38.80,764,$40.00,$40.00,$38.00
07/14/2023,$40.00,1499,$39.00,$40.00,$37.128
07/13/2023,$39.20,2127,$39.40,$40.00,$38.20
07/12/2023,$39.80,2502,$42.00,$43.20,$39.40
07/11/2023,$43.20,665,$44.80,$46.20,$43.20
07/10/2023,$46.364,1015,$49.20,$49.60,$44.002
07/07/2023,$48.20,576,$48.60,$48.78,$46.00
07/06/2023,$49.00,307,$46.62,$49.80,$46.60
07/05/2023,$47.00,478,$43.60,$51.40,$43.60
07/03/2023,$44.20,334,$45.80,$45.80,$44.00
06/30/2023,$45.40,599,$49.20,$49.20,$45.40
06/29/2023,$47.00,379,$49.40,$49.40,$45.658
06/28/2023,$49.40,1663,$48.624,$53.80,$43.002
06/27/2023,$47.00,2819,$45.40,$47.56,$42.40
06/26/2023,$41.40,4003,$40.60,$44.80,$40.40
06/23/2023,$40.00,319,$41.072,$41.072,$40.00
06/22/2023,$41.15,2107,$44.00,$44.00,$40.60
06/21/2023,$43.40,1780,$43.60,$46.20,$42.80
06/20/2023,$42.80,2836,$43.40,$46.00,$40.00
06/16/2023,$41.60,1334,$47.80,$47.80,$41.002
06/15/2023,$47.20,3943,$48.40,$53.80,$46.00
06/14/2023,$48.10,1637,$53.40,$53.40,$46.614
06/13/2023,$50.60,3170,$49.96,$56.40,$48.00
06/12/2023,$49.21,826,$52.10,$52.10,$47.40
06/09/2023,$51.888,571,$54.20,$54.464,$50.40
06/08/2023,$52.30,1148,$51.40,$54.80,$51.20
06/07/2023,$51.40,3769,$55.40,$57.798,$51.40
06/06/2023,$53.50,2318,$56.84,$58.60,$52.20
06/05/2023,$56.80,6621,$58.00,$64.60,$56.20
06/02/2023,$56.40,2955,$61.40,$63.00,$56.20
06/01/2023,$60.64,6098,$56.70,$63.00,$55.00
05/31/2023,$55.60,5843,$55.00,$61.998,$54.00
05/30/2023,$55.60,2005,$54.80,$58.736,$54.20
05/26/2023,$55.40,746,$55.20,$58.00,$54.20
05/25/2023,$56.40,1857,$53.00,$58.00,$52.20
05/24/2023,$54.18,495,$53.80,$57.20,$53.80
05/23/2023,$54.40,541,$54.60,$56.40,$53.80
